City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,coquimbo,-29.9533,-71.3436,9.85,76,0,2.06,CL,1659944777
127,puerto penasco,31.3167,-113.5333,29.95,81,99,2.24,MX,1659944778
128,bathsheba,13.2167,-59.5167,27.34,91,20,7.2,BB,1659944779
129,jacareacanga,-6.2222,-57.7528,23.61,76,52,0.97,BR,1659944781
130,ullo,47.3877,19.3553,24.53,64,75,0.51,HU,1659944782
131,magadan,59.5667,150.8,16.41,70,100,2.37,RU,1659944783
132,kieta,-6.2167,155.6333,26.59,82,97,0.56,PG,1659944784
133,meulaboh,4.1363,96.1285,29.55,63,74,3.01,ID,1659944785
134,mahebourg,-20.4081,57.7,24.58,69,40,4.63,MU,1659944786
135,omboue,-1.5746,9.2618,23.17,73,100,2.11,GA,1659944787
136,jamestown,42.097,-79.2353,23.77,73,0,3.6,US,1659944788
137,khash,28.2211,61.2158,34.68,9,0,4.13,IR,1659944789
138,victoria,22.2855,114.1577,32.03,83,77,4.92,HK,1659944706
139,grand gaube,-20.0064,57.6608,24.65,61,3,3.58,MU,1659944791
140,kamenka,51.3223,42.7678,31.16,25,7,2.97,RU,1659944792
141,kjopsvik,68.097,16.3742,12.32,82,100,1.47,NO,1659944793
142,pangnirtung,66.1451,-65.7125,5.51,90,92,1.08,CA,1659944795
143,tres arroyos,-38.3739,-60.2798,0.68,92,16,1.67,AR,1659944796
144,salalah,17.0151,54.0924,25.05,94,100,4.12,OM,1659944797
145,cananeia,-25.0147,-47.9267,17.69,95,100,1.96,BR,1659944798
146,sorland,67.667,12.6934,11.92,74,92,3.31,NO,1659944799
147,barreirinhas,-2.7469,-42.8264,23.29,93,5,3.13,BR,1659944800
148,cockburn town,21.4612,-71.1419,27.55,86,100,9.92,TC,1659944801
149,asyut,27.181,31.1837,33.1,24,1,4.25,EG,1659944802
150,zheleznodorozhnyy,55.7503,38.0042,22.34,75,100,1.63,RU,1659944803
151,bang saphan,11.2126,99.5117,25.24,86,100,3.12,TH,1659944804
152,port hedland,-20.3167,118.5667,28.03,16,1,5.66,AU,1659944805
153,hasaki,35.7333,140.8333,32.38,84,100,9.74,JP,1659944806
154,dauphin,51.1494,-100.0502,20.08,68,100,5.14,CA,1659944807
